Well Name;Zone Name;Zone Top;Zone Base;TD;KB;X;Y;Cum
AA10008;HL;3306;;;;481169.97;9513494.69;0
AA10008;VE;1215;;;;481199.81;9513497.2;20
AA10009;HL;3171;;;;481546.36;9513805.64;0
AA10009;VE;1587;;;;481562.5;9513788.9;0
AA10011;HL;3195;;;;481113;9514064;0
AA10012;HL;3209;;;;481352.97;9513977.9;0
AA10013;HL;3825;;;;478479.54;9514915.08;17
AA10014;HL;3953;;;;478223.6;9514892.37;46
AA10014;VE;2084;;;;478228.4;9514900.75;0
AA10016;HL;4074;;;;478740.59;9515194.59;28
AA10017;HL;4057;;;;478597.24;9515336.57;27
AA10038;HL;3597;;;;476255;9515108;36
AA100;HL;3525;;;;478787.1;9514629.75;48
AA100;OS;4267;;;;478802.7;9514623.36;8
AA100;VE;143;;;;478761.87;9514620.69;0
AA101;HL;4098;;;;479602;9515235;152
AA10201;HL;2841;;;;480581.78;9514131.03;0
AA10202;HL;3436;;;;478462.33;9513541.65;28
AA10203;HL;3474;;;;478570.17;9513444.63;2
AA10204;HL;3391;;;;478297.18;9513466.55;2
AA10204;OS;4381;;;;478310.8;9513468.73;1
AA10204;VE;140;;;;478271.91;9513428.36;0
AA10206;HL;3539;;;;478072.82;9513465.32;3
AA10206;OS;4499;;;;478093.67;9513471.67;2
AA10206;VE;1772;;;;478028.25;9513452.59;0
AA10207;HL;3480;;;;478797.93;9513334.41;1
AA10208;VE;1564;;;;478860.94;9513776.04;0
AA10209;HL;3513;;;;479569.39;9514371.77;0
AA10211;HL;3804;;;;476540;9514790;0
AA10211;OS;4765;;;;476540;9514790;0
AA102;HL;3609;;;;479909.08;9514766.67;153
AA105;BT;427;;;;481711;9524008;0
AA105;CB;2793;;;;481711;9524008;0
AA105;EC;2520;;;;481711;9524008;41
AA105;HL;1987;;;;481711;9524008;43
AA105;OS;2848;;;;481711;9524008;0
AA106;BT;427;;;;482196;9524344;0
AA106;CB;2623;;;;482196;9524344;0
AA106;CL;2800;;;;482196;9524344;0
AA106;EC;2439;;;;482196;9524344;85
AA106;HL;1569;;;;482196;9524344;48
AA106;OS;2844;;;;482196;9524344;0
AA107;BT;2008;;;;484561.98;9521345.79;0
AA107;EC;3850;;;;484557.72;9521297.07;0
